event_id,timestamp_start,timestamp_end,scenario,label,attack_type,source_ip,target_ip
BSSH-007,2026-05-11T13:45:56Z,2026-05-11T13:46:40Z,benign_ssh_login,benign,,192.168.56.102,192.168.56.101
BSSH-008,2026-05-11T13:48:03Z,2026-05-11T13:49:01Z,benign_ssh_login,benign,,192.168.56.102,192.168.56.101
BPKG-007,2026-05-11T13:50:19Z,2026-05-11T13:50:54Z,benign_package_update,benign,,192.168.56.102,192.168.56.101
AFIM-002,2026-05-11T13:52:26Z,2026-05-11T13:53:26Z,file_integrity_change,attack,file_integrity_change,192.168.56.102,192.168.56.101
APRIV-002,2026-05-11T13:54:50Z,2026-05-11T13:55:23Z,privilege_change,attack,privilege_change,192.168.56.102,192.168.56.101
BPKG-008,2026-05-11T13:56:54Z,2026-05-11T13:57:33Z,benign_package_update,benign,,192.168.56.102,192.168.56.101
BPKG-009,2026-05-11T13:58:56Z,2026-05-11T13:59:49Z,benign_package_update,benign,,192.168.56.102,192.168.56.101
BSSH-009,2026-05-11T14:01:17Z,2026-05-11T14:01:48Z,benign_ssh_login,benign,,192.168.56.102,192.168.56.101
APORT-003,2026-05-11T14:03:03Z,2026-05-11T14:03:28Z,port_scan,attack,port_scan,192.168.56.102,192.168.56.101
AFAIL-003,2026-05-11T14:04:44Z,2026-05-11T14:05:35Z,ssh_failed_logins,attack,ssh_failed_logins,192.168.56.102,192.168.56.101
BSSH-010,2026-05-11T14:07:05Z,2026-05-11T14:07:36Z,benign_ssh_login,benign,,192.168.56.102,192.168.56.101
BSSH-011,2026-05-11T14:08:54Z,2026-05-11T14:09:47Z,benign_ssh_login,benign,,192.168.56.102,192.168.56.101
BPKG-010,2026-05-11T14:11:01Z,2026-05-11T14:12:36Z,benign_package_update,benign,,192.168.56.102,192.168.56.101
ABRUTE-003,2026-05-11T14:14:08Z,2026-05-11T14:15:03Z,ssh_bruteforce,attack,ssh_bruteforce,192.168.56.102,192.168.56.101
AFIM-003,2026-05-11T14:16:44Z,2026-05-11T14:17:32Z,file_integrity_change,attack,file_integrity_change,192.168.56.102,192.168.56.101
BPKG-011,2026-05-11T14:18:54Z,2026-05-11T14:19:30Z,benign_package_update,benign,,192.168.56.102,192.168.56.101
BPKG-012,2026-05-11T14:20:58Z,2026-05-11T14:21:33Z,benign_package_update,benign,,192.168.56.102,192.168.56.101
BSSH-012,2026-05-11T14:22:50Z,2026-05-11T14:23:21Z,benign_ssh_login,benign,,192.168.56.102,192.168.56.101
APRIV-003,2026-05-11T14:24:47Z,2026-05-11T14:25:46Z,privilege_change,attack,privilege_change,192.168.56.102,192.168.56.101
APORT-004,2026-05-11T14:27:29Z,2026-05-11T14:27:56Z,port_scan,attack,port_scan,192.168.56.102,192.168.56.101
BSSH-013,2026-05-11T14:29:18Z,2026-05-11T14:29:56Z,benign_ssh_login,benign,,192.168.56.102,192.168.56.101
BSSH-014,2026-05-11T14:31:27Z,2026-05-11T14:31:49Z,benign_ssh_login,benign,,192.168.56.102,192.168.56.101
BPKG-013,2026-05-11T14:33:58Z,2026-05-11T14:34:44Z,benign_package_update,benign,,192.168.56.102,192.168.56.101
AFAIL-004,2026-05-11T14:36:08Z,2026-05-11T14:36:58Z,ssh_failed_logins,attack,ssh_failed_logins,192.168.56.102,192.168.56.101
ABRUTE-004,2026-05-11T14:38:15Z,2026-05-11T14:39:07Z,ssh_bruteforce,attack,ssh_bruteforce,192.168.56.102,192.168.56.101
BPKG-014,2026-05-11T17:43:37Z,2026-05-11T17:44:33Z,benign_package_update,benign,,192.168.56.102,192.168.56.101
BPKG-015,2026-05-11T14:42:12Z,2026-05-11T14:42:47Z,benign_package_update,benign,,192.168.56.102,192.168.56.101
BSSH-015,2026-05-11T18:40:57Z,2026-05-11T18:41:57Z,benign_ssh_login,benign,,192.168.56.102,192.168.56.101
AFIM-004,2026-05-11T14:47:00Z,2026-05-11T14:47:47Z,file_integrity_change,attack,file_integrity_change,192.168.56.102,192.168.56.101
APRIV-004,2026-05-11T14:49:23Z,2026-05-11T14:49:52Z,privilege_change,attack,privilege_change,192.168.56.102,192.168.56.101
BSSH-016,2026-05-11T14:51:37Z,2026-05-11T14:52:01Z,benign_ssh_login,benign,,192.168.56.102,192.168.56.101
BSSH-017,2026-05-11T14:53:22Z,2026-05-11T14:53:50Z,benign_ssh_login,benign,,192.168.56.102,192.168.56.101
BPKG-016,2026-05-11T17:46:04Z,2026-05-11T17:46:45Z,benign_package_update,benign,,192.168.56.102,192.168.56.101
APORT-005,2026-05-11T14:56:54Z,2026-05-11T14:57:19Z,port_scan,attack,port_scan,192.168.56.102,192.168.56.101
AFAIL-005,2026-05-11T14:58:41Z,2026-05-11T14:59:14Z,ssh_failed_logins,attack,ssh_failed_logins,192.168.56.102,192.168.56.101
BPKG-017,2026-05-11T15:02:13Z,2026-05-11T15:02:40Z,benign_package_update,benign,,192.168.56.102,192.168.56.101
BPKG-018,2026-05-11T15:04:15Z,2026-05-11T15:04:48Z,benign_package_update,benign,,192.168.56.102,192.168.56.101
BSSH-018,2026-05-11T15:06:02Z,2026-05-11T15:06:39Z,benign_ssh_login,benign,,192.168.56.102,192.168.56.101
ABRUTE-005,2026-05-11T15:08:14Z,2026-05-11T15:09:16Z,ssh_bruteforce,attack,ssh_bruteforce,192.168.56.102,192.168.56.101
AFIM-005,2026-05-11T15:10:35Z,2026-05-11T15:11:05Z,file_integrity_change,attack,file_integrity_change,192.168.56.102,192.168.56.101
BSSH-019,2026-05-11T15:12:27Z,2026-05-11T15:12:49Z,benign_ssh_login,benign,,192.168.56.102,192.168.56.101
BSSH-020,2026-05-11T15:14:40Z,2026-05-11T15:15:25Z,benign_ssh_login,benign,,192.168.56.102,192.168.56.101
BPKG-019,2026-05-11T15:16:52Z,2026-05-11T15:17:38Z,benign_package_update,benign,,192.168.56.102,192.168.56.101
APRIV-005,2026-05-11T15:19:08Z,2026-05-11T15:19:47Z,privilege_change,attack,privilege_change,192.168.56.102,192.168.56.101
APORT-006,2026-05-11T15:21:30Z,2026-05-11T15:21:50Z,port_scan,attack,port_scan,192.168.56.102,192.168.56.101
BPKG-020,2026-05-11T15:23:14Z,2026-05-11T15:23:53Z,benign_package_update,benign,,192.168.56.102,192.168.56.101
BPKG-021,2026-05-11T17:48:03Z,2026-05-11T17:48:39Z,benign_package_update,benign,,192.168.56.102,192.168.56.101
BSSH-021,2026-05-11T15:28:11Z,2026-05-11T15:28:35Z,benign_ssh_login,benign,,192.168.56.102,192.168.56.101
AFAIL-006,2026-05-11T15:30:47Z,2026-05-11T15:31:49Z,ssh_failed_logins,attack,ssh_failed_logins,192.168.56.102,192.168.56.101
ABRUTE-006,2026-05-11T17:33:44Z,2026-05-11T17:35:03Z,ssh_bruteforce,attack,ssh_bruteforce,192.168.56.102,192.168.56.101
BSSH-022,2026-05-11T15:36:12Z,2026-05-11T15:36:39Z,benign_ssh_login,benign,,192.168.56.102,192.168.56.101
BSSH-023,2026-05-11T15:38:12Z,2026-05-11T15:38:54Z,benign_ssh_login,benign,,192.168.56.102,192.168.56.101
BPKG-022,2026-05-11T15:40:19Z,2026-05-11T15:40:53Z,benign_package_update,benign,,192.168.56.102,192.168.56.101
AFIM-006,2026-05-11T15:42:09Z,2026-05-11T15:42:32Z,file_integrity_change,attack,file_integrity_change,192.168.56.102,192.168.56.101
APRIV-006,2026-05-11T17:40:07Z,2026-05-11T17:41:01Z,privilege_change,attack,privilege_change,192.168.56.102,192.168.56.101
BPKG-023,2026-05-11T15:45:35Z,2026-05-11T15:46:21Z,benign_package_update,benign,,192.168.56.102,192.168.56.101
BPKG-024,2026-05-11T15:47:41Z,2026-05-11T15:48:31Z,benign_package_update,benign,,192.168.56.102,192.168.56.101
BSSH-024,2026-05-11T18:04:16Z,2026-05-11T18:04:41Z,benign_ssh_login,benign,,192.168.56.102,192.168.56.101
APORT-007,2026-05-11T18:35:33Z,2026-05-11T18:36:21Z,port_scan,attack,port_scan,192.168.56.102,192.168.56.101
AFAIL-007,2026-05-11T15:53:20Z,2026-05-11T15:54:05Z,ssh_failed_logins,attack,ssh_failed_logins,192.168.56.102,192.168.56.101
BSSH-025,2026-05-11T18:05:54Z,2026-05-11T18:06:28Z,benign_ssh_login,benign,,192.168.56.102,192.168.56.101
BSSH-026,2026-05-11T18:08:27Z,2026-05-11T18:09:12Z,benign_ssh_login,benign,,192.168.56.102,192.168.56.101
BPKG-025,2026-05-11T17:50:03Z,2026-05-11T17:50:36Z,benign_package_update,benign,,192.168.56.102,192.168.56.101
ABRUTE-007,2026-05-11T16:01:01Z,2026-05-11T16:01:50Z,ssh_bruteforce,attack,ssh_bruteforce,192.168.56.102,192.168.56.101
AFIM-007,2026-05-11T16:03:08Z,2026-05-11T16:03:58Z,file_integrity_change,attack,file_integrity_change,192.168.56.102,192.168.56.101
BPKG-026,2026-05-11T18:38:12Z,2026-05-11T18:39:12Z,benign_package_update,benign,,192.168.56.102,192.168.56.101
BPKG-027,2026-05-11T17:53:51Z,2026-05-11T17:54:21Z,benign_package_update,benign,,192.168.56.102,192.168.56.101
BSSH-027,2026-05-11T18:43:47Z,2026-05-11T18:44:28Z,benign_ssh_login,benign,,192.168.56.102,192.168.56.101
APRIV-007,2026-05-11T16:10:30Z,2026-05-11T16:11:03Z,privilege_change,attack,privilege_change,192.168.56.102,192.168.56.101
APORT-008,2026-05-11T17:38:12Z,2026-05-11T17:38:42Z,port_scan,attack,port_scan,192.168.56.102,192.168.56.101
BSSH-028,2026-05-11T18:46:07Z,2026-05-11T18:46:45Z,benign_ssh_login,benign,,192.168.56.102,192.168.56.101
BSSH-029,2026-05-11T18:48:28Z,2026-05-11T18:49:07Z,benign_ssh_login,benign,,192.168.56.102,192.168.56.101
BPKG-028,2026-05-11T17:55:42Z,2026-05-11T17:56:14Z,benign_package_update,benign,,192.168.56.102,192.168.56.101
AFAIL-008,2026-05-11T16:18:24Z,2026-05-11T16:19:02Z,ssh_failed_logins,attack,ssh_failed_logins,192.168.56.102,192.168.56.101
ABRUTE-008,2026-05-11T16:20:18Z,2026-05-11T16:21:11Z,ssh_bruteforce,attack,ssh_bruteforce,192.168.56.102,192.168.56.101
BPKG-029,2026-05-11T17:57:36Z,2026-05-11T17:58:23Z,benign_package_update,benign,,192.168.56.102,192.168.56.101
BPKG-030,2026-05-11T17:59:48Z,2026-05-11T18:00:42Z,benign_package_update,benign,,192.168.56.102,192.168.56.101
BSSH-030,2026-05-11T18:50:47Z,2026-05-11T18:51:27Z,benign_ssh_login,benign,,192.168.56.102,192.168.56.101
AFIM-008,2026-05-11T16:27:42Z,2026-05-11T16:28:21Z,file_integrity_change,attack,file_integrity_change,192.168.56.102,192.168.56.101
APRIV-008,2026-05-11T17:41:30Z,2026-05-11T17:42:05Z,privilege_change,attack,privilege_change,192.168.56.102,192.168.56.101
