path,size_bytes,sha256,category,included,note
ml/src/benchmark_scoring.py,12613,3687e96b07dd9ed1582047bcd08fcfa3e915096c7ec1ce9ee6503ee0f92eebbe,source,true,
ml/src/build_dataset.py,18351,b8b6095fb28b866ac19c1474cb94704363c440d51ce4347c4e70458cdb1e6498,source,true,
ml/src/collect_thesis_figures.py,5481,a306560a118bae37d7e208711a6e7037a56f71be231acfb2323f53d5122099b4,source,true,
ml/src/compare_final_results.py,10960,ada28b0334b671795c3cd0e557deb2c6105a71165a5d034d4a431b7c30716f39,source,true,
ml/src/create_rule_proxy_export.py,4868,e2d7600052efa0c2222b650c845f5d0b4aca30fe1351cf625f1159af705ad157,source,true,
ml/src/eval.py,20800,d937ec2968e0f3ddeda89a6c45184b1e53409e19fdae198a2b74de5bc7d3d980,source,true,
ml/src/evaluate.py,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,source,true,
ml/src/explain.py,1584,fa1b98c5731bce2741961668501b29be72c6b3ff94a271aaf56513b97260abc2,source,true,
ml/src/export_performance_outputs.py,2474,d101b3573d158feda6cc042d84f3407e8bbf0be1997decb149fe47d66cf2096e,source,true,
ml/src/features.py,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,source,true,
ml/src/final_acceptance/__init__.py,77,1191d58a2f182ee5ed41fde8a1fe329bbdcf6daf2bb2e810e7a6812858f93720,source,true,
ml/src/final_acceptance/__pycache__/__init__.cpython-38.pyc,207,,source,false,excluded cache/virtualenv directory
ml/src/final_acceptance/__pycache__/check_documentation_consistency.cpython-38.pyc,3644,,source,false,excluded cache/virtualenv directory
ml/src/final_acceptance/__pycache__/check_expected_failure_modes.cpython-38.pyc,7104,,source,false,excluded cache/virtualenv directory
ml/src/final_acceptance/__pycache__/check_make_targets.cpython-38.pyc,3080,,source,false,excluded cache/virtualenv directory
ml/src/final_acceptance/__pycache__/check_provenance_policy.cpython-38.pyc,3423,,source,false,excluded cache/virtualenv directory
ml/src/final_acceptance/__pycache__/check_real_lab_runbook_docs.cpython-38.pyc,2909,,source,false,excluded cache/virtualenv directory
ml/src/final_acceptance/__pycache__/check_release_candidate_readiness.cpython-38.pyc,3076,,source,false,excluded cache/virtualenv directory
ml/src/final_acceptance/__pycache__/common.cpython-38.pyc,6739,,source,false,excluded cache/virtualenv directory
ml/src/final_acceptance/__pycache__/generate_real_lab_execution_brief.cpython-38.pyc,3242,,source,false,excluded cache/virtualenv directory
ml/src/final_acceptance/check_documentation_consistency.py,3507,3af3d72ae9b77726550e4e5128af1d40ba6b237fcbd0fb24b66956f47e2d2506,source,true,
ml/src/final_acceptance/check_expected_failure_modes.py,8268,b588292c2d927ca233766cf43afd1a9a6b4b07792cf1258d9c05544f7ed5b6b4,source,true,
ml/src/final_acceptance/check_make_targets.py,3497,7167cba29e962b2cbb6bd0dd6389b44e6e36c9eeea8c04ccc9e2f80527013809,source,true,
ml/src/final_acceptance/check_provenance_policy.py,3284,185540801f50a01713f31a3d1bac2482237caa3adedbba73efa0b28422a3a811,source,true,
ml/src/final_acceptance/check_real_lab_runbook_docs.py,3302,8168cda806a4e89ac163d052a92573064dc3f805e5733f81972bff82aac578f7,source,true,
ml/src/final_acceptance/check_release_candidate_readiness.py,3488,f3c207b61c75e50b8bb27fb3884ee3337881387a5b2e2ef1710bb1aca21a93b3,source,true,
ml/src/final_acceptance/common.py,6615,b57571cd13ab7c35878ec72828ad09b8c2b322539e9346b2cd622e1bc635b1f9,source,true,
ml/src/final_acceptance/generate_real_lab_execution_brief.py,2887,7cce44daad99b601928997c6075f7a0ae23e856f46d8e851b4eaa67217043647,source,true,
ml/src/final_submission_check/__init__.py,77,55b42ef89fee5251a5f7da7cb63d7479d3dc1ff89f13213a87972ab943e0e029,source,true,
ml/src/final_submission_check/__pycache__/__init__.cpython-38.pyc,213,,source,false,excluded cache/virtualenv directory
ml/src/final_submission_check/__pycache__/check_no_overclaiming.cpython-38.pyc,3562,,source,false,excluded cache/virtualenv directory
ml/src/final_submission_check/__pycache__/check_requirement_coverage.cpython-38.pyc,3838,,source,false,excluded cache/virtualenv directory
ml/src/final_submission_check/__pycache__/check_submission_artifact_plan.cpython-38.pyc,3243,,source,false,excluded cache/virtualenv directory
ml/src/final_submission_check/__pycache__/check_thesis_structure_expectations.cpython-38.pyc,3924,,source,false,excluded cache/virtualenv directory
ml/src/final_submission_check/__pycache__/common.cpython-38.pyc,6529,,source,false,excluded cache/virtualenv directory
ml/src/final_submission_check/__pycache__/generate_biraloi_risk_questions.cpython-38.pyc,5038,,source,false,excluded cache/virtualenv directory
ml/src/final_submission_check/__pycache__/generate_final_submission_readiness.cpython-38.pyc,3994,,source,false,excluded cache/virtualenv directory
ml/src/final_submission_check/check_no_overclaiming.py,3437,ecba93f03288f498b549ec7fd411414fd978f08d6a19af744dd3cb02d45899c6,source,true,
ml/src/final_submission_check/check_requirement_coverage.py,4008,ddcc9dc0b4ad3166e619fc5b1574ab7a759c0a00711435167c2218dd3ccb81d8,source,true,
ml/src/final_submission_check/check_submission_artifact_plan.py,3902,1d87d2449fa3e43212522840fa43cb7bd0d556abca3ca554bf2ce289cd27a770,source,true,
ml/src/final_submission_check/check_thesis_structure_expectations.py,3817,09b8a307ff7cacbe9b7bae501c73423e6f3f80ef41a3ca9b3e4a2c8cc4b1879f,source,true,
ml/src/final_submission_check/common.py,5452,e99077e9778ba8261d3ddd5eb76e43813eca057523c6a5233f4a2d408aaf0ec7,source,true,
ml/src/final_submission_check/generate_biraloi_risk_questions.py,4632,d0a9a57fccaf380519e1f24019af664a7ea14c25a17aeb80d8c0b509d65feb32,source,true,
ml/src/final_submission_check/generate_final_submission_readiness.py,4027,318aa33687887955eb10405e46bc5714aa7508ba2b959e5472b02f64e465f8d9,source,true,
ml/src/generate_case_studies.py,13465,1763a3db12727cdd1340b4eaa6b9ab293b5a1465bb6f101453eac47f70bda26a,source,true,
ml/src/generate_performance_report.py,9210,0f5aa92e09ce92a1ed4adb0c2a66431916e08967a16ab443c8275b0d1663d8ef,source,true,
ml/src/generate_security_report.py,11271,5ac2ca609aa9e9f48f4d97082edef1e9ef17c17ce26cbed6b886679a0971e866,source,true,
ml/src/hybrid_eval.py,9365,3680620d207988e143985f917a425bd8a3dd17940139c9b8327db3b264c80775,source,true,
ml/src/hybrid_real/__init__.py,66,2dd9d21a2391ef07769a3d26317ac693f9c9dd77e2eaa4bf7aef83bcb56d90e8,source,true,
ml/src/hybrid_real/__pycache__/__init__.cpython-38.pyc,195,,source,false,excluded cache/virtualenv directory
ml/src/hybrid_real/__pycache__/compare_real_results.cpython-38.pyc,6975,,source,false,excluded cache/virtualenv directory
ml/src/hybrid_real/__pycache__/evaluate_hybrid_real.cpython-38.pyc,7618,,source,false,excluded cache/virtualenv directory
ml/src/hybrid_real/__pycache__/plot_real_comparison.cpython-38.pyc,3684,,source,false,excluded cache/virtualenv directory
ml/src/hybrid_real/compare_real_results.py,8371,3a6fa3c461ecf93dbf436c949f509469b25b04a946fc39438250c58dd5c57b81,source,true,
ml/src/hybrid_real/evaluate_hybrid_real.py,9995,4c234f40ebf878b1dd7b2f85a7f9ba559d534460372bb5daab015b74fd4eb98d,source,true,
ml/src/hybrid_real/plot_real_comparison.py,3517,fdf525179ef3684f46293e2aef9bc4fce42c3eb24b02fb5b4397f7b65c6b030b,source,true,
ml/src/infra_diagnostics/__init__.py,58,8df1d268fac9ba13f0f9a539306da7f9eb214b81f2ab5836541f8aa4839e9ea6,source,true,
ml/src/infra_diagnostics/__pycache__/__init__.cpython-38.pyc,189,,source,false,excluded cache/virtualenv directory
ml/src/infra_diagnostics/__pycache__/check_docker_compose_mount_policy.cpython-38.pyc,6544,,source,false,excluded cache/virtualenv directory
ml/src/infra_diagnostics/__pycache__/check_wazuh_bind_mounts.cpython-38.pyc,7286,,source,false,excluded cache/virtualenv directory
ml/src/infra_diagnostics/check_docker_compose_mount_policy.py,8026,bff2be0460b2504ffb7d77f864d7e0a2444d8d6b8a3310db56beb16db5a61065,source,true,
ml/src/infra_diagnostics/check_wazuh_bind_mounts.py,7435,389e25c0b223f3f66df86a5d56485939a36a122d2b4177efb5ac9c66d2e82049,source,true,
ml/src/lab_ae_eval/__init__.py,61,b36060ddb25343f79ca839435ca98146b23415a8e59de18f73d9d9b31797dfc8,source,true,
ml/src/lab_ae_eval/__pycache__/__init__.cpython-38.pyc,190,,source,false,excluded cache/virtualenv directory
ml/src/lab_ae_eval/__pycache__/evaluate_ae_lab.cpython-38.pyc,3463,,source,false,excluded cache/virtualenv directory
ml/src/lab_ae_eval/__pycache__/score_lab_features.cpython-38.pyc,4400,,source,false,excluded cache/virtualenv directory
ml/src/lab_ae_eval/__pycache__/validate_lab_features.cpython-38.pyc,3060,,source,false,excluded cache/virtualenv directory
ml/src/lab_ae_eval/evaluate_ae_lab.py,3731,95732afcd91bb66b0983c0fd4d576d822fa4e2abc7a44f5eda900362ba1c6036,source,true,
ml/src/lab_ae_eval/score_lab_features.py,5248,4493e040f79817c311d4b5beaf76166726f848f60edcc932f5d37cfa273111ed,source,true,
ml/src/lab_ae_eval/validate_lab_features.py,3284,36432b4524313dd862559e5351126b0253f767d446904cea45ffc9e032c49785,source,true,
ml/src/lab_capture/__init__.py,78,d631a60138d47bb3ef30f0dc692f3cef1bbfc6849df5afe0fb54c0af14ad15d7,source,true,
ml/src/lab_capture/__pycache__/__init__.cpython-38.pyc,207,,source,false,excluded cache/virtualenv directory
ml/src/lab_capture/__pycache__/event_marker.cpython-38.pyc,5386,,source,false,excluded cache/virtualenv directory
ml/src/lab_capture/__pycache__/generate_lab_templates.cpython-38.pyc,2878,,source,false,excluded cache/virtualenv directory
ml/src/lab_capture/event_marker.py,5770,a537d9140c4c9aac39f92ebe86dbb6d875b2cb68abce71c4868cc34592cdd293,source,true,
ml/src/lab_capture/generate_lab_templates.py,2762,ed1ffe9abe7aa7cb1bb80545782d56df3805a7000d0d83c4e615e834159c1ed0,source,true,
ml/src/lab_features/__init__.py,73,68b2d7949280d938dbc2237ccf2e126a0b07ea455f12ad04d8f2882a25c01934,source,true,
ml/src/lab_features/__pycache__/__init__.cpython-38.pyc,203,,source,false,excluded cache/virtualenv directory
ml/src/lab_features/__pycache__/build_features_from_flow_csv.cpython-38.pyc,4288,,source,false,excluded cache/virtualenv directory
ml/src/lab_features/__pycache__/build_features_from_zeek_conn.cpython-38.pyc,5344,,source,false,excluded cache/virtualenv directory
ml/src/lab_features/__pycache__/common.cpython-38.pyc,5177,,source,false,excluded cache/virtualenv directory
ml/src/lab_features/__pycache__/validate_real_lab_inputs.cpython-38.pyc,4561,,source,false,excluded cache/virtualenv directory
ml/src/lab_features/build_features_from_flow_csv.py,5385,5fc51dadec58b7e896da22ba4ed55c0e652b97253872cb2c574ce3a270d3caf4,source,true,
ml/src/lab_features/build_features_from_zeek_conn.py,6384,69dd7171886dc3b3b988c79f04b47211027566e08c3cbd92082b3df09afdf564,source,true,
ml/src/lab_features/common.py,7060,2bf6e40ea1ad8443706838019d11677dac21cbcb50b4f1af727eb355493c3464,source,true,
ml/src/lab_features/validate_real_lab_inputs.py,4728,c8fb23a3da0ecbf7c30e0a7ffd30587c7ca5bd87e6b5ad871409f39a56e0f1c6,source,true,
ml/src/lab_session/__init__.py,62,2b7aebe1694eb658a88cf2a84fac39f745438d5e66ba4ba33719190ff495609a,source,true,
ml/src/lab_session/__pycache__/__init__.cpython-38.pyc,187,,source,false,excluded cache/virtualenv directory
ml/src/lab_session/__pycache__/common.cpython-38.pyc,3164,,source,false,excluded cache/virtualenv directory
ml/src/lab_session/__pycache__/create_session_plan.cpython-38.pyc,4219,,source,false,excluded cache/virtualenv directory
ml/src/lab_session/__pycache__/generate_run_commands.cpython-38.pyc,2877,,source,false,excluded cache/virtualenv directory
ml/src/lab_session/__pycache__/post_session_input_check.cpython-38.pyc,5089,,source,false,excluded cache/virtualenv directory
ml/src/lab_session/__pycache__/scenario_marker_helper.cpython-38.pyc,2771,,source,false,excluded cache/virtualenv directory
ml/src/lab_session/__pycache__/session_doctor.cpython-38.pyc,7723,,source,false,excluded cache/virtualenv directory
ml/src/lab_session/__pycache__/session_summary.cpython-38.pyc,5548,,source,false,excluded cache/virtualenv directory
ml/src/lab_session/common.py,2388,be3b26040593a9e32424e6a12f31d75b7694298512b35a2b5a9711603873c06a,source,true,
ml/src/lab_session/create_session_plan.py,4308,75cd2a8f78d0151bda05c2e25b65fe6efd87efc781bca3be2328e11b65366e0f,source,true,
ml/src/lab_session/generate_run_commands.py,3471,2de799aa424cb4c23e5a4c4b7a3d900c1fb73bd5163a0be38e7ee61dbb191d8e,source,true,
ml/src/lab_session/post_session_input_check.py,6883,50fd0cc1d5ae030eb05403bd6d2fc86c8f75a42e3c8188002916ae4c17d2fb7f,source,true,
ml/src/lab_session/scenario_marker_helper.py,3370,6b70d02dfbbe37228603b12516814e194c854d780b1de391d2ece64abbc086a2,source,true,
ml/src/lab_session/session_doctor.py,10340,6bc9697e87b80437c0a44d76d03734c87ffcf8cdeaf23d4abad9a7913b0d8760,source,true,
ml/src/lab_session/session_summary.py,6165,d19f7eaafb8b7b710a3cce253d5987f2a2c014b24e41c1185940d72b3107254a,source,true,
ml/src/live_integration/__init__.py,50,be1cedd7ee7af9eac444b119370743ebf2a0ac22602d3a51ea5a8fc3ed0648ef,source,true,
ml/src/live_integration/__pycache__/__init__.cpython-38.pyc,180,,source,false,excluded cache/virtualenv directory
ml/src/live_integration/__pycache__/enrich_wazuh_alerts.cpython-38.pyc,13368,,source,false,excluded cache/virtualenv directory
ml/src/live_integration/__pycache__/generate_dashboard_payload.cpython-38.pyc,5847,,source,false,excluded cache/virtualenv directory
ml/src/live_integration/__pycache__/generate_live_integration_thesis_section.cpython-38.pyc,8031,,source,false,excluded cache/virtualenv directory
ml/src/live_integration/__pycache__/validate_live_integration_outputs.cpython-38.pyc,6962,,source,false,excluded cache/virtualenv directory
ml/src/live_integration/__pycache__/write_enriched_alerts_to_opensearch.cpython-38.pyc,4451,,source,false,excluded cache/virtualenv directory
ml/src/live_integration/enrich_wazuh_alerts.py,18067,eab1dfffd52274d7935f4f02c5d28901c076e0250654cdb177b78744b901678c,source,true,
ml/src/live_integration/generate_dashboard_payload.py,5677,ac01494f4b46583ed3196e7425132dc2e7194772ecacfa5282cec1852b9745ad,source,true,
ml/src/live_integration/generate_live_integration_thesis_section.py,9200,e69c095ae1585fc874637494569468c343a68861e4fac4a2d43e4f4c11fe744e,source,true,
ml/src/live_integration/validate_live_integration_outputs.py,7394,ef4ea0b125b68c40d85ba573f8e4fc3f7bf198f417820e686e00f5dd91683cd9,source,true,
ml/src/live_integration/write_enriched_alerts_to_opensearch.py,4828,e9824785195a947af5466a956482c2a3b117267a24b91b00720dd5c93fede236,source,true,
ml/src/live_smoke/__init__.py,68,a1999e878ddb650a8f98b7252f74a1d50338e1df1e91d866227179e509794d7f,source,true,
ml/src/live_smoke/__pycache__/__init__.cpython-38.pyc,192,,source,false,excluded cache/virtualenv directory
ml/src/live_smoke/__pycache__/check_docker_environment.cpython-38.pyc,4196,,source,false,excluded cache/virtualenv directory
ml/src/live_smoke/__pycache__/check_make_workflow_dry_run.cpython-38.pyc,2246,,source,false,excluded cache/virtualenv directory
ml/src/live_smoke/__pycache__/check_ml_service_health.cpython-38.pyc,3376,,source,false,excluded cache/virtualenv directory
ml/src/live_smoke/__pycache__/check_model_artifacts.cpython-38.pyc,4272,,source,false,excluded cache/virtualenv directory
ml/src/live_smoke/__pycache__/check_opensearch_connection.cpython-38.pyc,3813,,source,false,excluded cache/virtualenv directory
ml/src/live_smoke/__pycache__/check_real_input_paths.cpython-38.pyc,2713,,source,false,excluded cache/virtualenv directory
ml/src/live_smoke/__pycache__/common.cpython-38.pyc,7100,,source,false,excluded cache/virtualenv directory
ml/src/live_smoke/__pycache__/generate_live_smoke_readiness.cpython-38.pyc,3792,,source,false,excluded cache/virtualenv directory
ml/src/live_smoke/__pycache__/generate_operator_smoke_brief.cpython-38.pyc,4085,,source,false,excluded cache/virtualenv directory
ml/src/live_smoke/check_docker_environment.py,5320,55174aa3dc412802d3d366fc293bdc7afec36a723b235a215552ee95196a0d14,source,true,
ml/src/live_smoke/check_make_workflow_dry_run.py,2444,cab00107042bef219fb8f102c0a450c64c8d930e5e6178a55791ed2266a607e9,source,true,
ml/src/live_smoke/check_ml_service_health.py,4575,6d81c793cf187570c4e0d7d1cd8b94b5f95562777fe132a7c99446acd282f06a,source,true,
ml/src/live_smoke/check_model_artifacts.py,6005,f5f63d312588082db79ded29830def5226101a4bf4c9d2ee96cf41a2f0742de1,source,true,
ml/src/live_smoke/check_opensearch_connection.py,5761,2bcc62b4165e759fb69b2a95b875dd5207afc851f83502f88742a69bbeb76833,source,true,
ml/src/live_smoke/check_real_input_paths.py,2933,74612b9ed0f0c0ee53927f867964290e00405582714dcd1cb4775d0a7a7e329b,source,true,
ml/src/live_smoke/common.py,6536,7ec1830b3e72a9c4bfd1872c369af22d9b3cfcf7407fb3b2be644ce66dde5b23,source,true,
ml/src/live_smoke/generate_live_smoke_readiness.py,4073,a81de8774a6fac8496106d395513b1cdbe51ead648d7ad549845010439532d97,source,true,
ml/src/live_smoke/generate_operator_smoke_brief.py,3917,2e104d4cb008eb902081b4a557d1d7abaf64354cd5abb612a17b22557c7a8a64,source,true,
ml/src/measurement_quality/__init__.py,57,45d52be992e47869402abeea639c605f27188418f756c73584bfac4d7c3a9607,source,true,
ml/src/measurement_quality/__pycache__/__init__.cpython-38.pyc,190,,source,false,excluded cache/virtualenv directory
ml/src/measurement_quality/__pycache__/check_feature_alert_alignment.cpython-38.pyc,6185,,source,false,excluded cache/virtualenv directory
ml/src/measurement_quality/__pycache__/check_metric_consistency.cpython-38.pyc,9604,,source,false,excluded cache/virtualenv directory
ml/src/measurement_quality/__pycache__/check_research_claim_strength.cpython-38.pyc,5585,,source,false,excluded cache/virtualenv directory
ml/src/measurement_quality/__pycache__/check_scenario_coverage.cpython-38.pyc,6301,,source,false,excluded cache/virtualenv directory
ml/src/measurement_quality/__pycache__/check_ttd_quality.cpython-38.pyc,4157,,source,false,excluded cache/virtualenv directory
ml/src/measurement_quality/__pycache__/common.cpython-38.pyc,8866,,source,false,excluded cache/virtualenv directory
ml/src/measurement_quality/__pycache__/generate_measurement_quality_summary.cpython-38.pyc,4412,,source,false,excluded cache/virtualenv directory
ml/src/measurement_quality/__pycache__/generate_thesis_measurement_quality_notes.cpython-38.pyc,3597,,source,false,excluded cache/virtualenv directory
ml/src/measurement_quality/check_feature_alert_alignment.py,8711,dc37fa12e4e102d066e14d8128eb418dbb56c4456a7d980be118aa41cb4c66a9,source,true,
ml/src/measurement_quality/check_metric_consistency.py,13493,6af9ccf305d5ee064f17677bad52e1e624cec71607c019093930fe690062d833,source,true,
ml/src/measurement_quality/check_research_claim_strength.py,7359,1ffae8c8f3c809922e5e72cad4de4a700029374341daabd64cb80c0bb07e6036,source,true,
ml/src/measurement_quality/check_scenario_coverage.py,8473,702c3438fd75fcb6f84bd98cfe59e13d3ecbcafe274cea2084d505b778a12999,source,true,
ml/src/measurement_quality/check_ttd_quality.py,5993,2e70530ceae804fa62c111fc70762f5f5c76578d3c9b6e8ae7f41ba5c8e2d963,source,true,
ml/src/measurement_quality/common.py,8187,c351cda372a4ea104cfd7d6aaa0e79c5dd2734303f0de886b70d12ae0e246fb3,source,true,
ml/src/measurement_quality/generate_measurement_quality_summary.py,4119,989382d0833eb6ecd5d416356f1987fe35a1ffe6677c7d621118a25a821f96cb,source,true,
ml/src/measurement_quality/generate_thesis_measurement_quality_notes.py,3401,b2f675f40ccf9be178bd6b640c024b043e2d596721065d04cef32858301f6d82,source,true,
ml/src/model.py,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,source,true,
ml/src/plot_final_results.py,7625,ebea78258e1b12628c6469c12ee34eb74f224802923db8ce168345f202ec759e,source,true,
ml/src/plot_performance_results.py,6891,f4b4ae7a4494bdc063e29d2e4fd5e56f1cd66da6c92579b43e5db7cfeb6fd314,source,true,
ml/src/real_measurement/__init__.py,79,21c0bcb48e9a6279046d1f48e7da9ac78ab3c4ee05390a6995b93172eb234bd3,source,true,
ml/src/real_measurement/__pycache__/__init__.cpython-38.pyc,213,,source,false,excluded cache/virtualenv directory
ml/src/real_measurement/__pycache__/create_measurement_manifest.cpython-38.pyc,5991,,source,false,excluded cache/virtualenv directory
ml/src/real_measurement/__pycache__/generate_real_measurement_report.cpython-38.pyc,9793,,source,false,excluded cache/virtualenv directory
ml/src/real_measurement/__pycache__/redact_measurement_outputs.cpython-38.pyc,5278,,source,false,excluded cache/virtualenv directory
ml/src/real_measurement/__pycache__/validate_measurement_bundle.cpython-38.pyc,6665,,source,false,excluded cache/virtualenv directory
ml/src/real_measurement/create_measurement_manifest.py,6625,94afe950a1ec84ef92bdca53144cf649300f7ede1fc4a1dc1892b2dcc1a20663,source,true,
ml/src/real_measurement/generate_real_measurement_report.py,11390,8fc98aff55c2e3c28441d7f2b255bd2ae94845cea70d4352cc5beb7f5252df55,source,true,
ml/src/real_measurement/redact_measurement_outputs.py,5305,b1b9e9747110374d288a3fa7c2661f6a3d60550afd2a7bc629ec5add0214b956,source,true,
ml/src/real_measurement/validate_measurement_bundle.py,7345,7ee234b8d0617d230562391532af1847b25059e7a8e1dd2dca71522dffa03bf7,source,true,
ml/src/real_measurement_qa/__init__.py,68,7a9b4397c6a12d5b557ee9c81adcbe15ca3bc9a7edbcc279f105e6dcabcd355e,source,true,
ml/src/real_measurement_qa/__pycache__/__init__.cpython-38.pyc,205,,source,false,excluded cache/virtualenv directory
ml/src/real_measurement_qa/__pycache__/generate_defense_notes.cpython-38.pyc,5812,,source,false,excluded cache/virtualenv directory
ml/src/real_measurement_qa/__pycache__/generate_thesis_tables.cpython-38.pyc,7123,,source,false,excluded cache/virtualenv directory
ml/src/real_measurement_qa/__pycache__/postrun_quality_gate.cpython-38.pyc,13037,,source,false,excluded cache/virtualenv directory
ml/src/real_measurement_qa/__pycache__/preflight_check.cpython-38.pyc,6808,,source,false,excluded cache/virtualenv directory
ml/src/real_measurement_qa/generate_defense_notes.py,5599,ace57c66f2ccafbd509bcc17b6033856b44a183b42a157820c658308a23469c4,source,true,
ml/src/real_measurement_qa/generate_thesis_tables.py,7740,b10f7461da691e279bb5e29e8605fa062d878f07d35648ee9d37bf6fa962d946,source,true,
ml/src/real_measurement_qa/postrun_quality_gate.py,15650,2f193cd9bfa92114a8a5b82eaf9b9bdf3d15a75ad4f5f35e6c40b602ccf92dde,source,true,
ml/src/real_measurement_qa/preflight_check.py,7994,58e501c5303c1311d7956a73b2a576180be14f587456dd0f95c1e4f1a849e05b,source,true,
ml/src/repo_hygiene/__init__.py,65,28bcaf0815ef7c2996159c253c0e73d437e85c4d7bd882333ca7113b7657aac8,source,true,
ml/src/repo_hygiene/__pycache__/__init__.cpython-38.pyc,195,,source,false,excluded cache/virtualenv directory
ml/src/repo_hygiene/__pycache__/audit_generated_artifacts.cpython-38.pyc,7192,,source,false,excluded cache/virtualenv directory
ml/src/repo_hygiene/__pycache__/check_no_demo_real_results.cpython-38.pyc,2687,,source,false,excluded cache/virtualenv directory
ml/src/repo_hygiene/__pycache__/check_tracked_generated_outputs.cpython-38.pyc,3416,,source,false,excluded cache/virtualenv directory
ml/src/repo_hygiene/__pycache__/cleanup_generated_outputs_plan.cpython-38.pyc,2786,,source,false,excluded cache/virtualenv directory
ml/src/repo_hygiene/__pycache__/common.cpython-38.pyc,4191,,source,false,excluded cache/virtualenv directory
